RELIANCE.BO,TCS.BO,INFY.BO,HDFCBANK.BO,ICICIBANK.BO,SBIN.BO,BHARTIARTL.BO,LT.BO
185.3801117,953.682373,376.5823669,455.0012207,309.1505127,292.2731934,351.3704224,959.0987549
185.9777069,949.4882202,379.7296753,464.6925354,310.1552124,294.9310303,364.4299011,983.868042
186.3551331,953.7178345,366.3433228,478.5500488,321.2485962,297.1384277,373.6427002,1004.254028
189.9407043,965.8737183,367.9040833,471.4653625,321.3741455,301.3279419,354.9795227,979.0236816
194.5641937,968.407959,367.5267944,487.5952148,318.1089783,294.3905334,356.3092346,991.5091553
191.9326782,945.4109497,367.5009766,479.4412231,302.3688049,279.2992859,354.0297852,980.4364624
190.3705597,957.5286255,366.0603638,482.2483521,294.4988403,277.3171997,341.4927063,999.5540161
196.5666809,973.5330811,363.6592407,473.7600708,290.1451721,270.4248047,353.1749268,993.4700317
194.7319641,957.9857178,367.3809814,475.5422974,288.2194824,264.1631165,349.3757935,974.5830078
193.4004669,972.4281006,376.2223511,479.9981689,281.1029663,262.0007935,345.1493835,970.9209595
190.9052582,981.6113892,382.3536682,470.7747192,276.2470093,261.5953674,349.0909424,971.3536987
188.147934,958.4240112,385.929718,463.5118103,268.2095032,252.0451355,337.7411194,907.138916
185.0865784,930.911438,391.0920715,470.3513794,277.1679688,258.7122498,339.0232544,907.6002808
188.9132843,937.4654541,392.2755432,471.6435242,280.223938,257.676178,338.4059448,930.8985596
190.9052582,938.475769,397.1206055,480.1541443,284.1170654,256.2346497,334.9867249,949.6989136
192.3206024,967.3787231,393.8534241,474.9185791,287.8846436,276.6414795,337.2662048,958.3203735
189.2697296,985.1364746,390.7833252,475.4754944,283.1123657,276.4162292,342.4424744,951.5154419
189.0180969,1003.674805,393.7419434,478.995575,286.5869141,275.2900391,334.1319275,959.6755371
188.9971313,1021.127441,399.0329285,481.0006714,283.4891052,272.4069519,338.8807983,980.0905151
183.105072,1019.279541,391.7781677,477.9039612,277.2516785,272.3168335,332.1848755,967.5764771
178.4710846,1026.976563,389.4455566,475.2527161,275.4097595,266.9110718,329.2405701,972.2764893
176.500061,1031.587769,390.7233582,475.4309998,272.8143311,266.8209534,325.9163208,992.0570068
176.8774872,1017.927063,397.5664978,469.0146484,269.7584229,266.2803345,330.3327942,979.0525513
176.6049347,1012.229797,387.5246887,463.3780823,269.0467834,260.8746033,331.8999023,968.8739014
179.4146576,1015.0495,388.6996155,469.7275391,280.4750671,270.2446594,337.5985718,1014.144348
181.1026154,1017.48822,393.0043945,482.5155945,292.0707703,272.0015564,331.852417,1063.134399
189.0600281,1057.328735,394.0163269,482.2483521,291.6940613,272.767334,331.4250488,1066.248657
185.9777069,1045.401001,389.7715454,474.6066284,291.777771,265.0640259,333.5145264,1060.481567
185.4430237,1027.472412,386.1869507,483.4736633,291.1498718,264.5685425,330.4278259,1052.580933
182.1405334,1007.199585,375.6991272,471.9332275,278.549408,261.8656311,326.2962646,1016.508728
180.1380615,1007.066589,377.3370972,469.081543,279.4703979,259.1177063,349.4232788,1010.857178
179.456604,994.3201904,374.5072021,470.6187744,278.6749878,256.9103088,370.2709656,1003.619629
181.1130829,997.9971924,380.3728027,470.0617676,283.0704956,258.7573853,377.5368347,1008.060425
178.2614136,983.5357666,380.1411743,464.6702271,276.4981689,253.0361481,380.2436523,976.6592407
176.562973,977.5530396,388.8110046,468.5022278,277.4609985,253.756958,369.6060791,969.4217529
179.666275,983.4788208,384.514679,471.3093872,279.8889771,254.793045,367.3741455,988.1068115
182.161499,975.7811279,382.4995117,473.9828491,280.1820374,258.2167358,362.9101563,980.7539063
179.5404663,988.6224976,382.4480286,468.5690613,276.4562988,253.6668701,362.4353333,970.6039429
179.1315765,994.4341431,387.4303589,470.3291321,267.1629639,250.7837524,361.2480774,963.0494385
176.6049347,994.7776489,382.8768616,466.8981628,263.0186462,247.4952545,364.0974426,963.9432373
177.9783325,988.2994385,379.3951416,462.420166,261.260437,243.6211243,374.4974976,964.0874023
177.1186218,980.5064087,380.3556213,460.6600647,265.1954651,239.0712433,375.0198669,941.7980957
174.1621246,957.7380371,367.7924805,448.7632141,257.4928284,231.4580383,378.6765137,943.47052
170.2096252,958.8241577,377.6543274,451.5257263,263.2279358,237.4494629,357.3065186,967.0285034
169.9160309,974.4669189,382.4309082,461.8631592,266.5350647,241.3686981,369.9859924,996.6416016
172.9249878,970.5796509,380.1669922,455.7586975,263.9814758,240.5578156,374.1175537,991.3361816
174.9903717,969.1890259,372.5605774,460.6600647,270.3444519,246.3690491,381.8107605,1000.101685
172.7782288,970.1797485,373.4094849,459.5238953,269.0048828,247.3601074,380.8609924,1012.55835
174.6234283,985.4602661,370.6739502,460.6155701,265.7815247,244.9725342,384.2326965,1020.516663
181.4800415,1007.656677,377.4570923,461.4844055,264.0651245,246.5041962,398.194458,1024.178711
187.6551666,1014.058777,379.2750549,470.6187744,268.4188232,252.6758118,386.3697205,1020.689941
189.4794159,1010.553223,383.0310974,464.3806458,266.4512329,257.3608398,390.6912231,1015.81665
193.410965,1009.904968,384.0087585,462.5760498,265.3210754,257.1806641,403.1332703,1039.172852
